ChEMBL_ID	UniProt
CHEMBL17860	P07550
CHEMBL17860	Q9Y5N1
CHEMBL17860	Q99808
CHEMBL17860	P30542
CHEMBL17860	P22909
CHEMBL17860	P04150
CHEMBL17860	P35372
CHEMBL17860	P35439
CHEMBL17860	Q01959
CHEMBL17860	P15823
CHEMBL17860	P29274
CHEMBL17860	P21728
CHEMBL17860	P32238
CHEMBL17860	P19328
CHEMBL17860	P08913
CHEMBL17860	O75469
CHEMBL17860	P25929
CHEMBL17860	P21731
CHEMBL17860	P30518
CHEMBL17860	P41595
CHEMBL17860	P20309
CHEMBL17860	Q92847
CHEMBL17860	P43140
CHEMBL17860	P41143
CHEMBL17860	P43681
CHEMBL17860	P28335
CHEMBL17860	P22002
CHEMBL17860	P31645
CHEMBL17860	P32239
CHEMBL17860	P08908
CHEMBL17860	P08172
CHEMBL17860	P35367
CHEMBL17860	Q9UBN7
CHEMBL17860	P0DTD1
CHEMBL17860	Q12809
CHEMBL17860	P14416
CHEMBL17860	P03372
CHEMBL17860	P08588
CHEMBL17860	P15207
CHEMBL17860	P23944
CHEMBL278623	Q14432
CHEMBL278623	P11229
CHEMBL278623	P35462
CHEMBL278623	P06401
CHEMBL278623	P62813
CHEMBL278623	P27815
CHEMBL278623	P35348
CHEMBL278623	P23975
CHEMBL278623	P21397
CHEMBL278623	Q9Y5N1
CHEMBL278623	P30542
CHEMBL278623	P35372
CHEMBL278623	P22303
CHEMBL278623	Q01959
CHEMBL278623	P23219
CHEMBL278623	P21728
CHEMBL278623	P08913
CHEMBL278623	P21731
CHEMBL278623	P41595
CHEMBL278623	Q92847
CHEMBL278623	P00734
CHEMBL278623	P31645
CHEMBL278623	P08908
CHEMBL278623	P08172
CHEMBL278623	P03372
CHEMBL278623	P10275
CHEMBL125	P11712
CHEMBL125	P11229
CHEMBL125	P25021
CHEMBL125	P30556
CHEMBL125	P25101
CHEMBL125	P41145
CHEMBL125	P30542
CHEMBL125	P35372
CHEMBL125	P32238
CHEMBL125	O75469
CHEMBL125	P21731
CHEMBL125	P20309
CHEMBL125	P41143
CHEMBL125	P31645
CHEMBL125	P31749
CHEMBL125	P08908
CHEMBL125	Q7BGE6
CHEMBL125	P08588
CHEMBL125	P02545
CHEMBL125	P30411
CHEMBL125	P35462
CHEMBL125	P0DMS8
CHEMBL125	P22830
CHEMBL125	P46098
CHEMBL125	P23975
CHEMBL125	P05177
CHEMBL125	P08684
CHEMBL125	P35439
CHEMBL125	P08913
CHEMBL125	P30518
CHEMBL125	Q92847
CHEMBL125	P22002
CHEMBL125	P35367
CHEMBL125	P14416
CHEMBL125	P03372
CHEMBL125	P21556
CHEMBL125	Q14432
CHEMBL125	P41968
CHEMBL125	P02791
CHEMBL125	P08397
CHEMBL125	P06401
CHEMBL125	P62813
CHEMBL125	O75496
CHEMBL125	P18825
CHEMBL125	P28223
CHEMBL125	P18089
CHEMBL125	Q13822
CHEMBL125	P25779
CHEMBL125	Q9Y6L6
CHEMBL125	P25929
CHEMBL125	P32239
CHEMBL125	P08172
CHEMBL125	Q12809
CHEMBL125	P21554
CHEMBL125	P15207
CHEMBL125	Q63921
CHEMBL125	P35354
CHEMBL125	P33261
CHEMBL125	Q92830
CHEMBL125	P0CP75
CHEMBL125	P35348
CHEMBL125	O43193
CHEMBL125	Q08499
CHEMBL125	P06493
CHEMBL125	P37288
CHEMBL125	P07550
CHEMBL125	Q9Y5N1
CHEMBL125	Q99808
CHEMBL125	P04150
CHEMBL125	Q01959
CHEMBL125	P08659
CHEMBL125	Q9NPD5
CHEMBL125	P29274
CHEMBL125	P21728
CHEMBL125	P41595
CHEMBL125	Q548M1
CHEMBL125	P10635
CHEMBL125	P43681
CHEMBL125	P28335
CHEMBL125	Q9UBN7
CHEMBL125	Q96GD4
CHEMBL125	P30304
CHEMBL284092	P19020
CHEMBL284092	P19327
CHEMBL284092	P43140
